"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: calc","Param: dimension","Param: vectorsCount"
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMatrix","avgt",1,10,2468.190426,49.866658,"us/op",NativeJni,384,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMatrix","avgt",1,10,193.814452,0.365188,"us/op",NativeJni,768,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMatrix","avgt",1,10,1125.315131,107.549611,"us/op",NativeJni,768,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMatrix","avgt",1,10,4744.823560,9.464842,"us/op",NativeJni,768,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMatrix","avgt",1,10,79.373195,5.742739,"us/op",NativePanama,256,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMatrix","avgt",1,10,526.824579,0.496435,"us/op",NativePanama,256,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMatrix","avgt",1,10,1896.078681,79.506844,"us/op",NativePanama,256,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMatrix","avgt",1,10,113.881531,0.837082,"us/op",NativePanama,384,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMatrix","avgt",1,10,721.558503,15.597618,"us/op",NativePanama,384,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMatrix","avgt",1,10,2643.901270,12.967959,"us/op",NativePanama,384,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMatrix","avgt",1,10,201.402557,0.496539,"us/op",NativePanama,768,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMatrix","avgt",1,10,1211.962456,46.995803,"us/op",NativePanama,768,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMatrix","avgt",1,10,4803.984176,40.731442,"us/op",NativePanama,768,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMulti","avgt",1,10,11.886668,0.056610,"us/op",PlainJava,256,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMulti","avgt",1,10,29.840141,0.033800,"us/op",PlainJava,256,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMulti","avgt",1,10,59.922296,0.394147,"us/op",PlainJava,256,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMulti","avgt",1,10,18.973841,0.051994,"us/op",PlainJava,384,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMulti","avgt",1,10,47.241034,0.100213,"us/op",PlainJava,384,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMulti","avgt",1,10,95.003611,0.676508,"us/op",PlainJava,384,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMulti","avgt",1,10,40.294748,0.168926,"us/op",PlainJava,768,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMulti","avgt",1,10,100.446520,0.124801,"us/op",PlainJava,768,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMulti","avgt",1,10,201.188062,0.414068,"us/op",PlainJava,768,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMulti","avgt",1,10,5.151033,0.046631,"us/op",VectorApi,256,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMulti","avgt",1,10,13.108257,0.179077,"us/op",VectorApi,256,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMulti","avgt",1,10,28.040908,2.046546,"us/op",VectorApi,256,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMulti","avgt",1,10,7.613656,0.126418,"us/op",VectorApi,384,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMulti","avgt",1,10,19.022575,0.019757,"us/op",VectorApi,384,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMulti","avgt",1,10,38.543236,0.206480,"us/op",VectorApi,384,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMulti","avgt",1,10,15.250323,0.152615,"us/op",VectorApi,768,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMulti","avgt",1,10,38.837124,0.054731,"us/op",VectorApi,768,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMulti","avgt",1,10,74.684269,1.163136,"us/op",VectorApi,768,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMulti","avgt",1,10,10.302179,1.371982,"us/op",NativeJni,256,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMulti","avgt",1,10,24.147204,3.887156,"us/op",NativeJni,256,250
